# BS001 17:48:07.68 -29:07:55.6  | G=10.73
BS001 17:48:07.68 -29:07:55.6 RotType=Horizon; RotAng=90
# BS662 17:01:13.01 -38:12:11.9  | G=7.40
# BS667 17:15:22.32 -38:12:46.8  | G=6.66
# BS670 17:17:12.10 -38:03:21.6  | G=14.75
# BS673 17:20:38.23 -38:01:48.7  | G=13.52
# BS681 17:17:00.50 -36:13:36.1  | G=13.06
# BS687 17:28:59.78 -36:06:54.7  | G=13.19
# BS691 17:22:50.02 -34:03:22.3  | G=12.79
# BS692 17:27:11.23 -34:14:35.2  | G=10.79
# BS700 17:33:47.88 -31:16:27.1  | G=13.16
# BS701 17:36:04.46 -30:49:55.2  | G=13.43
# BS705 17:45:08.21 -29:56:45.2  | G=10.24
# BS709 17:47:30.02 -29:14:24.4  | G=11.44
# BS712 17:54:15.65 -26:17:23.6  | G=12.96
# BS713 18:03:07.99 -24:23:55.0  | G=13.26
# BS714 18:02:29.23 -23:49:34.0  | G=11.18
# BS715 18:02:41.88 -23:38:02.0  | G=11.98
# BS717 18:03:00.26 -22:13:07.0  | G=12.92
# BS718 18:05:29.62 -22:30:06.1  | G=13.19
# BS719 18:07:23.62 -21:53:06.7  | G=16.30
# BS720 18:08:28.08 -21:39:10.1  | G=13.34
# BS722 18:13:51.38 -18:59:22.2  | G=8.63
# BS723 18:12:25.22 -18:32:44.5  | G=12.90
# BS727 18:18:36.36 -13:22:08.0  | G=13.73
# BS728 18:23:23.57 -12:57:05.4  | G=16.14
# BS743 18:44:27.43 -04:45:46.1  | G=12.99
# BS746 18:48:40.90 -02:36:29.2  | G=13.06
# BS748 18:47:36.60 -02:03:31.3  | G=19.03
# BS750 18:51:18.12 -01:59:29.0  | G=13.24
# BS762 19:07:20.16 +06:24:09.0  | G=14.80
# BS764 19:10:12.29 +08:14:09.6  | G=12.15
# BS773 19:26:31.08 +15:42:36.7  | G=14.00
# BS778 19:41:43.08 +23:16:01.9  | G=11.63
# BS779 19:44:44.06 +23:51:07.9  | G=10.27
# BS780 19:52:13.22 +26:15:11.5  | G=14.24
# BS782 20:28:19.44 +37:11:05.6  | G=15.29
# BS783 20:18:45.17 +39:24:22.3  | G=9.08
# BS784 20:25:04.66 +38:36:25.2  | G=15.66
# BS785 20:24:51.62 +39:26:32.3  | G=13.81
# BS788 20:35:16.30 +41:12:36.4  | G=15.69
# BS789 20:35:08.64 +42:25:57.0  | G=15.44
# BS790 20:41:12.17 +42:01:23.9  | G=16.46
# BS792 22:22:02.57 +58:43:09.5  | G=9.46
# BS793 22:34:08.47 +59:15:04.0  | G=15.28
# BS794 00:33:00.00 +62:55:54.5  | G=4.12
# BS795 11:53:13.22 -62:05:20.8  | G=12.59
# BS797 12:07:16.68 -62:34:41.2  | G=12.18
# BS807 13:16:09.46 -62:56:41.3  | G=11.70
# BS809 13:25:56.35 -62:30:18.0  | G=11.65
# BS826 15:36:58.06 -56:49:34.7  | G=13.01
# BS828 15:38:44.98 -55:49:59.9  | G=13.11
# BS834 15:51:10.37 -54:17:46.0  | G=14.70
# BS838 15:56:49.92 -54:05:17.2  | G=10.51
# BS840 16:00:42.38 -53:32:24.7  | G=12.43
# BS851 16:22:23.45 -50:33:58.0  | G=13.45
# BS852 16:21:46.66 -50:00:24.5  | G=18.19
# BS856 16:30:03.17 -49:56:16.4  | G=13.95
# BS857 16:34:00.62 -49:17:19.7  | G=11.32
# BS860 16:35:42.94 -48:03:48.2  | G=17.08
# BS863 16:45:25.15 -46:08:42.7  | G=12.59
# BS864 16:43:41.69 -45:30:12.2  | G=11.10
# BS865 16:41:08.74 -44:57:53.6  | G=14.13
# BS869 16:53:06.12 -44:29:44.5  | G=17.61
# BS873 17:01:31.78 -41:37:55.9  | G=16.08
# BS876 17:08:15.07 -40:31:46.2  | G=16.20
# BS880 17:19:10.87 -39:01:40.4  | G=13.98
# BS884 17:26:36.10 -35:11:32.3  | G=11.06
# BS885 17:25:54.60 -34:51:05.8  | G=8.64
# BS887 17:28:21.67 -34:32:30.5  | G=9.56
# BS892 17:29:12.94 -31:32:03.5  | G=6.95
# BS895 17:38:32.28 -29:43:07.0  | G=11.78
